Merilec;Meril;Kandidat;word;subject;gender;stressed;vowelNoIpa;vowel;f0;f1;f2;f3;f4;f1Bark;f2Bark
B;G-Polanec;Nataša Pirc Musar;državo;f1;f;TRUE;a;a;192.045984767769;762.140771002128;1316.45418995522;2616.27627620868;3528.90487783548;6.97622241444363;10.2420525868795
B;G-Polanec;Nataša Pirc Musar;nebomo;f1;f;TRUE;o;o;183.415578970928;593.41861760708;660.491294625389;2328.49119834997;3498.28541785053;5.70068737274084;6.22742432162442
B;G-Polanec;Nataša Pirc Musar;počutili;f1;f;TRUE;i;i;181.102973043456;361.065594120908;1996.95275642943;2690.71940152451;3590.49530349876;3.64057088041834;13.0001851438286
B;G-Polanec;Nataša Pirc Musar;kakršenkoli;f1;f;TRUE;o;o;165.209325912831;571.834013721894;1802.93718997195;3459.61270574551;3472.6171274909;5.52524288906563;12.3154830954827
B;G-Polanec;Nataša Pirc Musar;želim;f1;f;TRUE;i;i;242.43919046476;255.701086370242;2078.63085733698;2607.52612575345;3623.79036598441;2.56398509020754;13.2687588501591
B;G-Polanec;Nataša Pirc Musar;predsednica;f1;f;TRUE;e;e;223.490253429811;423.748058034204;1902.35064840458;2482.07335335475;3824.53926286157;4.23589184733968;12.6749172968783
B;G-Polanec;Nataša Pirc Musar;jasno;f1;f;TRUE;a;a;191.508405966315;790.982997936596;1584.14869850892;2514.01586560554;3767.71016539646;7.17860968264294;11.4534211879689
B;G-Polanec;Nataša Pirc Musar;branila;f1;f;TRUE;i;i;178.093224781902;369.897377227981;1939.51473991591;2527.34168667009;3546.28438124568;3.72638862054987;12.8045797221597
B;G-Polanec;Nataša Pirc Musar;pravice;f1;f;TRUE;i;i;183.509614015509;360.501050634356;2078.92600492933;2454.51658259727;3675.14970697798;3.63506304311517;13.2697096565107
B;G-Polanec;Nataša Pirc Musar;svoboščine;f1;f;TRUE;O;ɔ;150.806859406254;689.17770009534;1001.09814835708;2401.15928491593;3688.72205500205;6.44456200801143;8.53401612264854
B;G-Polanec;Nataša Pirc Musar;želim;f1;f;TRUE;i;i;253.671833846505;366.63948418509;2019.52456067087;2512.60864356959;3641.32584978474;3.69480777009812;13.0755080565852
B;G-Polanec;Nataša Pirc Musar;slovenijo;f1;f;TRUE;e;e;229.666937534458;458.462350819827;2045.72175564108;2587.13934685671;3691.3320660153;4.55231009728679;13.1618646911759
B;G-Polanec;Nataša Pirc Musar;mladi;f1;f;TRUE;a;a;187.610663408166;911.413937672334;1447.58547162813;2594.33628567447;3608.14253170145;7.97974753183901;10.8592275975126
B;G-Polanec;Nataša Pirc Musar;počutili;f1;f;TRUE;i;i;179.522442233923;355.27108162044;2010.14616365321;2532.0078250867;3647.7363748546;3.58391036404154;13.0443160140867
B;G-Polanec;Nataša Pirc Musar;dobro;f1;f;TRUE;O;ɔ;170.557596545145;664.730246091817;1065.01911275822;2689.94442942006;3689.6913863393;6.2598093239324;8.90900231658802
B;G-Polanec;Nataša Pirc Musar;želeli;f1;f;TRUE;e;e;180.515196767251;439.983220144099;2052.12269845869;2507.33913370658;3792.8931030047;4.38501358553459;13.1827933716517
B;G-Polanec;Nataša Pirc Musar;ostati;f1;f;TRUE;a;a;178.356997446137;788.433570171295;1395.22685355214;2518.57999916229;3715.20787268255;7.16089136652301;10.6185850514494
